statistics,f_21_001,f_21_0001,f_21_00001,f_21_001_startvalue,f_21_0001_startvalue,f_21_00001_startvalue,f_49_001,f_49_0001,f_49_00001,f_49_001_startvalue,f_49_0001_startvalue,f_49_00001_startvalue,c_21_001,c_21_0001,c_21_00001,c_49_001,c_49_0001,c_49_00001,m_21_001,m_21_0001,m_21_00001,m_49_001,m_49_0001,m_49_00001
i_20201_4628_AS_Blank_1,-0.3989652,-0.3987005,-0.3987005,-0.3993035,-0.3982582,-0.3980972,-0.3988758,-0.3980842,-0.3980125,-0.3981467,-0.3981244,-0.3980041,-0.402784211,-0.398464266,-0.398057292,-0.402850166,-0.398353079,-0.397874571,-0.40262,-0.3985,-0.39806,-0.40267,-0.39834,-0.39788
i_20201_4769_AS_Correct_MC_Answer,-0.0421144,-0.04208,-0.04208,-0.0430369,-0.042009,-0.0418377,-0.0419924,-0.0416862,-0.04164,-0.0417708,-0.0417699,-0.0416527,-0.04652124,-0.042210473,-0.041804424,-0.046607978,-0.042118358,-0.041640453,-0.046357,-0.042248,-0.041803,-0.046424,-0.042104,-0.041641
i_20200_142_AS_Sentence1,0.8419521,0.8415283,0.8415283,0.8395038,0.8405329,0.8407209,0.842149,0.8412365,0.8410995,0.8409117,0.8409531,0.8410562,0.836085386,0.840377006,0.840781421,0.836016832,0.840483086,0.840959375,0.83625,0.84034,0.84078,0.8362,0.8405,0.84096
i_20200_131_AS_MC_Correct,-0.5905399,-0.590156,-0.590156,-0.5905751,-0.5895314,-0.58937,-0.5904395,-0.589482,-0.5893612,-0.5894822,-0.5894581,-0.5893393,-0.594093828,-0.589774078,-0.58936706,-0.594164062,-0.589661483,-0.589182549,-0.59393,-0.58981,-0.58937,-0.59398,-0.58965,-0.58918
i_20200_130_AS_MC_Correct,0.2147577,0.2147495,0.2147495,0.2136643,0.214701,0.214887,0.2148802,0.2150442,0.2150442,0.2149166,0.2149317,0.2150536,0.210220841,0.21452733,0.214933114,0.210136679,0.214623118,0.215101032,0.21039,0.21449,0.21493,0.21032,0.21464,0.2151
i_20200_99_AS_FullCredit,-0.8344443,-0.8340587,-0.8340587,-0.8340945,-0.8330531,-0.8328887,-0.8343499,-0.832984,-0.8328597,-0.832971,-0.8329466,-0.8328205,-0.837569349,-0.8332552,-0.832848995,-0.837637865,-0.833136804,-0.832658503,-0.83741,-0.83329,-0.83285,-0.83745,-0.83312,-0.83266
i_100180_22_AS_Multiple_Choice,-0.0026051,-0.0026134,-0.0026134,-0.0037574,-0.0027212,-0.0025352,-0.0025041,-0.0023955,-0.0023738,-0.0025319,-0.0024958,-0.0023889,-0.007244512,-0.002933843,-0.002527691,-0.007399779,-0.002907309,-0.002428979,-0.0070798,-0.0029711,-0.0025264,-0.0072156,-0.0028925,-0.0024296
i_100180_23_AS_Correct,-1.5355657,-1.5347602,-1.5347602,-1.5342881,-1.5332733,-1.5330825,-1.5355587,-1.5335663,-1.533285,-1.5333777,-1.5333398,-1.5332167,-1.537873107,-1.533550266,-1.533143027,-1.537964668,-1.533451452,-1.53297216,-1.5377,-1.5336,-1.5331,-1.5378,-1.5334,-1.533
i_10104_41848_AS_GridInteraction,-2.6215148,-2.6201742,-2.6201742,-2.6192611,-2.6182595,-2.6180733,-2.6214993,-2.6188059,-2.6183957,-2.6184564,-2.6183976,-2.6182903,-2.622954144,-2.618625862,-2.618217892,-2.623001915,-2.618479583,-2.618000008,-2.6228,-2.6187,-2.6182,-2.6228,-2.6185,-2.618
i_242_2938_AS_WaterPerYearAndToilet,0.3108167,0.3106957,0.3106957,0.3090551,0.3101008,0.31027,0.3110109,0.3106998,0.3106051,0.3104462,0.3104592,0.3105626,0.305556461,0.309867383,0.310273701,0.305525966,0.310009801,0.310487608,0.30572,0.30983,0.31027,0.30571,0.31002,0.31049
